sim_time_sec,abs_time,id,platform_id,eoir_heading,latitude,longitude,zoom_level,stream_url
0.2,06:00:00,32101,2101,0.0,35.070939,129.09845,1,rtsp://sim/2101/eoir
0.2,06:00:00,31201,1201,0.0,35.07096,129.097782,1,rtsp://sim/1201/eoir
0.2,06:00:00,31101,1101,0.0,35.071113,129.098215,1,rtsp://sim/1101/eoir
0.2,06:00:00,32102,2102,0.0,35.071192,129.099061,1,rtsp://sim/2102/eoir
0.2,06:00:00,31301,1301,0.0,35.071419,129.099099,1,rtsp://sim/1301/eoir
0.2,06:00:00,31102,1102,0.0,35.071076,129.098801,1,rtsp://sim/1102/eoir
0.2,06:00:00,32201,2201,0.0,35.066049,129.086307,1,rtsp://sim/2201/eoir
0.2,06:00:00,32202,2202,0.0,35.065294,129.086486,1,rtsp://sim/2202/eoir
0.6,06:00:01,32101,2101,0.0,35.070921,129.098455,1,rtsp://sim/2101/eoir
0.6,06:00:01,31201,1201,0.0,35.070942,129.097786,1,rtsp://sim/1201/eoir
0.6,06:00:01,31101,1101,0.0,35.0711,129.098198,1,rtsp://sim/1101/eoir
0.6,06:00:01,32102,2102,0.0,35.071192,129.099061,1,rtsp://sim/2102/eoir
0.6,06:00:01,31301,1301,0.0,35.071419,129.099099,1,rtsp://sim/1301/eoir
0.6,06:00:01,31102,1102,0.0,35.071076,129.098801,1,rtsp://sim/1102/eoir
0.6,06:00:01,32201,2201,0.0,35.066049,129.086307,1,rtsp://sim/2201/eoir
0.6,06:00:01,32202,2202,0.0,35.065294,129.086486,1,rtsp://sim/2202/eoir
1,06:00:01,32101,2101,0.0,35.070903,129.09846,1,rtsp://sim/2101/eoir
1,06:00:01,31201,1201,0.0,35.070924,129.09779,1,rtsp://sim/1201/eoir
1,06:00:01,31101,1101,0.0,35.071089,129.098181,1,rtsp://sim/1101/eoir
1,06:00:01,32102,2102,0.0,35.071192,129.099061,1,rtsp://sim/2102/eoir
1,06:00:01,31301,1301,0.0,35.071419,129.099099,1,rtsp://sim/1301/eoir
1,06:00:01,31102,1102,0.0,35.071076,129.098801,1,rtsp://sim/1102/eoir
1,06:00:01,32201,2201,0.0,35.066049,129.086307,1,rtsp://sim/2201/eoir
1,06:00:01,32202,2202,0.0,35.065294,129.086486,1,rtsp://sim/2202/eoir
1.6,06:00:02,32101,2101,0.0,35.070876,129.098468,1,rtsp://sim/2101/eoir
1.6,06:00:02,31201,1201,0.0,35.070896,129.097796,1,rtsp://sim/1201/eoir
1.6,06:00:02,31101,1101,0.0,35.071066,129.098161,1,rtsp://sim/1101/eoir
1.6,06:00:02,32102,2102,0.0,35.071192,129.099061,1,rtsp://sim/2102/eoir
1.6,06:00:02,31301,1301,0.0,35.071419,129.099099,1,rtsp://sim/1301/eoir
1.6,06:00:02,31102,1102,0.0,35.071076,129.098801,1,rtsp://sim/1102/eoir
1.6,06:00:02,32201,2201,0.0,35.066049,129.086307,1,rtsp://sim/2201/eoir
1.6,06:00:02,32202,2202,0.0,35.065294,129.086486,1,rtsp://sim/2202/eoir
2,06:00:02,32101,2101,0.0,35.070858,129.098473,1,rtsp://sim/2101/eoir
2,06:00:02,31201,1201,0.0,35.070878,129.0978,1,rtsp://sim/1201/eoir
2,06:00:02,31101,1101,0.0,35.071049,129.098154,1,rtsp://sim/1101/eoir
2,06:00:02,32102,2102,0.0,35.071192,129.099061,1,rtsp://sim/2102/eoir
2,06:00:02,31301,1301,0.0,35.071419,129.099099,1,rtsp://sim/1301/eoir
2,06:00:02,31102,1102,0.0,35.071076,129.098801,1,rtsp://sim/1102/eoir
