sim_time_sec,abs_time,id,altitude,fuel_status,heading,latitude,longitude,speed,speed_unit,weapon_status
0.2,06:00:00,2101,0,100,167.18,35.070939,129.09845,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":1,""drone"":1},""persistent"":{""tass"":1,""eo/ir"":1}}"
0.2,06:00:00,1201,0,100,169.76,35.07096,129.097782,0,knots,"{""consumable"":{""sonobuoy"":3,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
0.2,06:00:00,1101,0,100,170.33,35.071113,129.098215,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
0.2,06:00:00,2102,0,100,0,35.071192,129.099061,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":1,""drone"":0},""persistent"":{""tass"":1,""eo/ir"":1}}"
0.2,06:00:00,1301,0,100,0,35.071419,129.099099,0,knots,"{""consumable"":{""sonobuoy"":3,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
0.2,06:00:00,1102,0,100,0,35.071076,129.098801,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
0.2,06:00:00,2201,0,100,0,35.066049,129.086307,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
0.2,06:00:00,2202,0,100,0,35.065294,129.086486,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
1,06:00:01,2101,0,100,167.18,35.070903,129.09846,10,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":1,""drone"":1},""persistent"":{""tass"":1,""eo/ir"":1}}"
1,06:00:01,1201,0,100,169.76,35.070924,129.09779,10,knots,"{""consumable"":{""sonobuoy"":3,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
1,06:00:01,1101,0,100,227.33,35.071089,129.098181,10,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
1,06:00:01,2102,0,100,0,35.071192,129.099061,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":1,""drone"":0},""persistent"":{""tass"":1,""eo/ir"":1}}"
1,06:00:01,1301,0,100,0,35.071419,129.099099,0,knots,"{""consumable"":{""sonobuoy"":3,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
1,06:00:01,1102,0,100,0,35.071076,129.098801,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
1,06:00:01,2201,0,100,0,35.066049,129.086307,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
1,06:00:01,2202,0,100,0,35.065294,129.086486,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
2,06:00:02,2101,0,100,167.18,35.070858,129.098473,10,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":1,""drone"":1},""persistent"":{""tass"":1,""eo/ir"":1}}"
2,06:00:02,1201,0,100,169.76,35.070878,129.0978,10,knots,"{""consumable"":{""sonobuoy"":3,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
2,06:00:02,1101,0,100,197.33,35.071049,129.098154,10,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":0,""drone"":0},""persistent"":{""tass"":0,""eo/ir"":1}}"
2,06:00:02,2102,0,100,0,35.071192,129.099061,0,knots,"{""consumable"":{""sonobuoy"":0,""blueshark"":0,""rcws"":1,""drone"":0},""persistent"":{""tass"":1,""eo/ir"":1}}"
